protein_id	gene_names	OR-01	OR-04	OR-07	OR-09	OR-10	OR-13	OR-20	OR-23	OR-25	PD-02	PD-03	PD-04	PD-06	PD-07	PD-08	PD-09	PD-10	PD-11
Q9BXJ9;Q6N069	NAA15	9329600	NA	5032600	4988100	3969200	NA	3614200	5260200	3447500	8903700	6644700	4550500	6683000	3574800	NA	NA	3315400	5255200
Q9BXK5	BCL2L13	10536000	10006000	7952200	17552000	10620000	NA	10550000	18734000	12113000	5333600	6465300	8414900	10311000	NA	NA	13999000	NA	12927000
Q9BXN1	ASPN	53902000	2176200	81954000	32763000	9178500	44535000	38492000	NA	9770900	5789100	9093600	16254000	4541400	8981600	26159000	45617000	50113000	2980400
Q9BXP5	SRRT	28844000	29648000	25356000	26814000	28747000	33828000	31566000	23114000	27758000	30283000	54735000	34515000	29769000	25944000	64143000	26894000	22680000	25425000
Q9BXS5	AP1M1	16917000	NA	6213000	17857000	8819400	19954000	12027000	8945700	9009500	NA	11266000	10713000	12603000	7176000	17258000	7082600	7144800	12172000
Q9BXW7	CECR5	NA	1212300	1783400	NA	1386900	1780100	NA	1378600	NA	1468600	NA	1308800	2013200	1209600	NA	NA	NA	NA
Q9BY32	ITPA	NA	NA	NA	NA	2708700	NA	2028500	2505300	NA	NA	3308600	NA	3996400	3319500	NA	6066000	NA	NA
Q9BY43	CHMP4A	NA	2837500	NA	17988000	NA	13747000	4989100	2840300	NA	12388000	12404000	10005000	7644800	3254100	5026400	4763500	NA	10534000
Q9BY44	EIF2A	11141000	11669000	11367000	14762000	6076700	4383000	14583000	24033000	5338600	12066000	15817000	7484300	16616000	14539000	19640000	11878000	9986700	16958000
Q9BY50	SEC11C	NA	NA	NA	611300	NA	NA	627460	896290	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BYC5	FUT8	NA	4815500	3728100	4609100	5621100	6305800	1350400	NA	23094000	3956100	5301900	NA	4472200	22559000	NA	4810500	11468000	NA
Q9BYD1	MRPL13	4626100	5536200	NA	NA	5987000	3563400	5382700	NA	4475300	3918500	4355800	NA	NA	4402400	NA	3635900	NA	13128000
Q9BYD2	MRPL9	2231200	2989600	NA	NA	NA	NA	2950400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
